Quantity,Unit Price,Ext Price
1.000,4.640,4.640
10.000,3.112,31.120
50.000,2.475,123.750
100.000,2.274,227.420
500.000,1.929,964.580
1000.000,1.821,1820.590
2500.000,1.705,4262.050
5000.000,1.634,8171.700
,,
