Quantity,Unit Price,Ext Price
1.000,1.180,1.180
10.000,0.771,7.710
25.000,0.658,16.440
50.000,0.587,29.330
100.000,0.526,52.620
250.000,0.460,114.940
500.000,0.418,209.120
1000.000,0.383,382.910
5000.000,0.320,1600.200
